"Year","Point_Estimate","Initial_Estimate","Bias","Standard_Error","Lower_Bound_CI","Upper_Bound_CI","Rate_Type"
2005,30.3479239475661,30.6020037128201,-0.254079765253998,1.07906674367459,27.9546587200251,32.0681364259799,"Veteran"
2006,29.7310549942752,30.0504828962133,-0.319427901938134,1.46616815611974,26.3398428391464,31.9735289759738,"Veteran"
2007,31.5015449880451,31.1090475294891,0.392497458555987,1.46825758960907,28.8460126418962,34.5666873988895,"Veteran"
2008,32.0167162673985,31.9075539993175,0.109162268080979,1.52438205197719,29.716455487226,35.1941920659493,"Veteran"
2009,33.9883128816318,34.0458906606486,-0.0575777790168175,2.00231554687447,30.2566703173541,37.4965514953223,"Veteran"
2010,34.6485539707328,35.4202325374222,-0.77167856668936,2.01808215289387,30.5950741930549,38.185650390737,"Veteran"
2011,35.6612966567798,35.7174003004778,-0.0561036436980373,1.49016376832939,32.2064538622952,38.422531352731,"Veteran"
2005,14.9076053735936,14.9146677315152,-0.00706235792155852,0.520081811909383,13.9454437987176,15.9272460741356,"Civilian"
2006,14.6560733422145,14.4425080161292,0.213565326085268,0.656895509743282,13.5020975655685,16.1723171810282,"Civilian"
2007,15.1818225758535,15.24145052108,-0.0596279452264259,0.671093250039255,13.879071004605,16.0700460805216,"Civilian"
2008,15.1716514156475,15.0387077076079,0.132943708039594,0.478884317865906,14.5862827244091,16.4161306724002,"Civilian"
2009,15.4576667977961,15.4067805092107,0.0508862885853958,0.485004173008894,14.7636389289547,16.8395861027849,"Civilian"
2010,16.0145702220659,16.0393597006138,-0.0247894785478096,0.491646640876938,14.8981822598275,16.9368920475282,"Civilian"
2011,15.989955171181,15.8793074250007,0.110647746180277,0.535913180991138,14.962097308513,17.0453202373482,"Civilian"
